latitude,longitude,start_date,end_date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
7.74168,3.41129,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
8.03041,3.53503,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.79564,3.43504,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.75814,3.47676,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
8.02603,3.65653,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.90151,3.50416,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.95911,3.65383,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.81937,3.72701,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
7.94493,3.52349,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.6716,3.33599,01/11/2023,07/11/2023,,640.7304734,0.040236686,3.475680473,25.43899408,1.505088757,21.67816568,50.16497041,1.848816568
7.96408,3.50881,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.8064,3.71265,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
7.88775,3.58369,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.74271,3.41179,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
8.0332,3.60346,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.74187,3.44292,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.83848,3.6314,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.96411,3.50967,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.71242,3.32353,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.77361,3.50889,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.74757,3.41253,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.76319,3.48398,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.91701,3.69503,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.84198,3.64488,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.80043,3.3039,01/11/2023,07/11/2023,,568.2060947,0.037869822,2.443431953,23.81088757,0.90183432,19.06751479,45.31461538,1.277751479
7.68468,3.40632,01/11/2023,07/11/2023,,640.7304734,0.040236686,3.475680473,25.43899408,1.505088757,21.67816568,50.16497041,1.848816568
7.91662,3.57582,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
8.02771,3.59616,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
7.78227,3.64454,01/11/2023,07/11/2023,,704.0514793,0.053136095,4.001597633,21.97005917,0.998994083,24.03763314,55.61668639,1.48964497
7.97799,3.49038,01/11/2023,07/11/2023,,574.2498817,0.112721893,2.825443787,22.12295858,0.735266272,19.2347929,42.26633136,1.373550296
7.80612,3.71251,01/11/2023,07/11/2023,,895.7315385,0.219467456,6.985621302,22.82704142,1.688994083,32.25591716,61.77863905,2.904319527
8.00417,3.67437,01/11/2023,07/11/2023,,757.3383432,0.160946746,4.510650888,21.94733728,1.373786982,28.10230769,58.38112426,2.703076923
